83639,Le Grand Véfour,"17 Rue de Beaujolais, Paris, France",restaurant,Paris,48.86618,2.338042,4,ChIJd9mmyyRu5kcRLYUD8BMhZ8I,N/A,N/A,2000,2200,2000,2200,2000,2200,2000,2200,2000,2200,N/A,N/A
83641,Mavrommatis,"42 Rue Daubenton, Paris, France",restaurant,Paris,48.840555,2.351312,4,ChIJndSg1QvJlkcRolBteshfZc8,N/A,N/A,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900
83642,Diep,"55 Rue Pierre Charron, Paris, France",restaurant,Paris,48.86943,2.303121,3,ChIJE8SbglANZ0gR8wQdzSAb9ws,1600,2300,1600,2300,1600,2300,1600,2300,1600,2300,1200,2300,1600,2300
83645,Bouillon Racine,"3 Rue Racine, Paris, France",restaurant,Paris,48.850219,2.342071,4,ChIJS37WxhNx5kcRTEiVUc44RXI,1800,0000,1800,0000,1800,0000,1800,0000,1800,0000,1800,0000,1800,0000
83647,La Crémaillère 1900,"15 Place du Tertre, Paris, France",restaurant,Paris,48.886559,2.340487,4,ChIJ-5AvTVtu5kcRtYXnkeXjW1I,0900,0030,0900,0030,0900,0030,0900,0030,0900,0030,0900,0030,0900,0030
83654,Le Café du Commerce,"51 Rue du Commerce, Paris, France",restaurant,Paris,48.846427,2.295556,4,ChIJRQaWcBdw5kcRGyBbSZDLhk8,1900,2230,1900,2230,1900,2230,1900,2230,1900,2230,1900,2230,1900,2230
83657,Chez André,"12 Rue Marbeuf, Paris, France",restaurant,Paris,48.867818,2.302644,3,ChIJPZJd1OY260YRQ9KgfyJWvig,1200,2100,1200,2300,1200,2300,1200,2300,1200,2300,1200,0000,1200,0000
83661,Café Etienne Marcel,"64 Rue Tiquetonne, Paris, France",restaurant,Paris,48.864831,2.345459,3,ChIJLdGqdRhu5kcRVC8N4HJKjrg,0800,0200,0800,0200,0800,0200,0800,0200,0800,0200,0800,0200,0800,0200
83663,Market,"15 Avenue Matignon, Paris, France",restaurant,Paris,48.870279,2.312168,3,ChIJAz_XME8isDsRWafrGY4lcpM,N/A,N/A,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
83665,Le Chansonnier,"14 Rue Eugène Varlin, Paris, France",restaurant,Paris,48.878755,2.364104,3,ChIJTwmeY3Ru5kcRvMfJAoPRvnc,1800,2300,1800,2315,1800,2315,1800,2315,1800,2315,1800,2315,1800,2315
83668,Marty,"20 Avenue des Gobelins, Paris, France",restaurant,Paris,48.837344,2.351192,4,ChIJ15gS_IEOSUcR8zcshygOWWY,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
83670,La Régalade,"49 Avenue Jean Moulin, Paris, France",restaurant,Paris,48.824911,2.320364,4,ChIJ6Vwo1CNu5kcR_jILVmRUmZk,1900,2130,1915,2215,1915,2215,1915,2215,1915,2215,1915,2300,1915,2300
83671,Café Constant,"139 Rue Saint-Dominique, Paris, France",restaurant,Paris,48.858136,2.301569,4,ChIJbZG9lt9v5kcRwdXbp2Et1B8,1200,2030,1200,2030,1200,2030,1200,2030,1200,2030,1200,2030,1200,2030
83674,Le Cinq,"31 Avenue George V, Paris, France",restaurant,Paris,48.868712,2.300872,4,ChIJqTQzIehv5kcRaF3hD1SzX5A,1900,2130,1900,2130,1900,2130,1900,2130,1900,2130,1900,2130,1900,2130
83677,Chez Janou,"2 Rue Roger Verlomme, Paris, France",restaurant,Paris,48.856681,2.367195,3,ChIJaXXlBgBu5kcRzeSQ0Um9YSg,1200,1600,1800,2000,1800,2000,1800,2000,1800,2000,1800,2000,1200,1600
83678,Bagels and Brownies,"12 Rue Notre-Dame des Champs, Paris, France",restaurant,Paris,48.846447,2.327222,4,ChIJtZVrAs5x5kcRDElqqqLr6NY,N/A,N/A,0830,1800,0830,1800,0830,1800,0830,1800,0830,1800,0830,1800
83684,Carette,"4 Place du Trocadéro et du 11 Novembre, Paris, France",restaurant,Paris,48.863548,2.287198,4,ChIJXQvlQftv5kcROZUkVMlEAdo,0730,1900,0700,1900,0700,1900,0700,1900,0700,1900,0700,1900,0730,1900
83685,Le Campanella,"18 Avenue Bosquet, Paris, France",restaurant,Paris,48.858593,2.303342,5,ChIJxbIlEt9v5kcRHG64Ggs96bs,0700,0200,0700,0200,0700,0200,0700,0200,0700,0200,0700,0200,0700,0200
83686,Le Baratin,"3 Rue Jouye-Rouve, Paris, France",restaurant,Paris,48.873141,2.382746,3,ChIJlQ2YiJZZwokRgtsz9e4SREc,1100,2300,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,1100,2300
83687,Le Chateaubriand,"129 Avenue Parmentier, Paris, France",restaurant,Paris,48.86935,2.371325,4,ChIJIfiOtuNt5kcRuMiQz0CoNA4,N/A,N/A,N/A,N/A,1900,2300,1900,2300,1900,2300,1900,2300,1900,2300
83688,Restaurant Astier,"44 Rue Jean-Pierre Timbaud, Paris, France",restaurant,Paris,48.866235,2.372037,4,ChIJl7wVSONt5kcRoHde85_JmhI,1900,2230,1900,2230,1900,2230,1900,2230,1900,2230,1900,2230,1900,2300
83690,Tokyo Eat,"13 Avenue du Président Wilson, Paris, France",restaurant,Paris,48.86461,2.296208,3,ChIJKSgu2n4LjkcRzLjRctjddm0,1100,2215,1730,2215,1730,2215,1730,2215,1730,2215,1100,2215,1100,2215
83692,Matsuri,"2 Rue de Passy, Paris, France",restaurant,Paris,48.858567,2.284054,4,ChIJCw0-ABq42YgR9sXS9kgio5A,1730,2200,N/A,N/A,1730,2200,1730,2200,1730,2200,1730,2200,1730,2200
83697,Lao Lane Xang,"102 Avenue d'Ivry, Paris, France",restaurant,Paris,48.825563,2.361423,4,ChIJwym-LIZx5kcRgA1fevt2Qjo,1830,2030,1830,2030,1830,2030,N/A,N/A,N/A,N/A,1830,2030,1830,2030
83752,Poilane,"8 Rue du Cherche-Midi, Paris, France",restaurant,Paris,48.851243,2.328986,4,ChIJQ4DodRgFdkgRJ0o__IOehuE,N/A,N/A,0700,1700,0700,1700,0700,1700,0700,1700,0700,1700,0700,1500
83753,Pierre Hermé,"72 Rue Bonaparte, Paris, France",restaurant,Paris,48.85151,2.332799,4,ChIJS8cjEmMABDQRdYMN6P_E3Aw,1030,1930,1100,1900,1100,1900,1100,1900,1100,1900,1030,1930,1030,1930
83777,Café du Trocadéro,"8 Place Trocadéro et 11 Novembre, Paris, France",restaurant,Paris,48.863572,2.286558,4,ChIJm2s0bPtv5kcR-p42XuFt7rw,0700,0200,0700,0200,0700,0200,0700,0200,0700,0200,0700,0200,0700,0200
83779,Le Suffren,"84 Avenue de Suffren, Paris, France",restaurant,Paris,48.851207,2.300634,3,ChIJI7f9qlJQfCERYF2I65OIBqY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83782,Le Rouge Limé,"167 Boulevard Voltaire, Paris, France",restaurant,Paris,48.854345,2.386263,4,ChIJlzSVbQpy5kcRqJQwzKHv37A,0800,0130,0800,0130,0800,0130,0800,0130,0800,0130,0800,0130,0800,0130
83783,La Cantine du Troquet,"101 Rue Ouest, Paris, France",restaurant,Paris,48.834179,2.315955,3,ChIJzYpmNUpw5kcR9shuTwHBx-4,N/A,N/A,N/A,N/A,1900,2245,1900,2245,1900,2245,1900,2245,1900,2245
83790,3 Pièces Cuisine,"25 Rue de Cheroy, Paris, France",restaurant,Paris,48.882934,2.318125,3,ChIJfyPlW7Fv5kcREJzgSEJO_0M,1200,1900,1200,1900,1200,1900,1200,1900,1200,1900,1800,1900,1200,1900
83803,Le Progrès,"7 Rue des 3 Frères, Paris, France",restaurant,Paris,48.88391,2.341396,5,ChIJ0fLCQ5a6rhIRN3aoWCuiDJc,N/A,N/A,0730,1530,0730,1530,0730,1530,0730,1530,0730,1530,N/A,N/A
83804,Boulangeries Paul,"77 Rue de Seine, Paris, France",restaurant,Paris,48.853817,2.33705,3,ChIJVeJSjaApw0cR93UBVCwmwl0,0630,1400,0630,1930,0630,1930,0630,1930,0630,1930,0630,1930,0630,1930
83807,Le Tribeca,"36 Rue Cler, Paris, France",restaurant,Paris,48.856743,2.306321,4,ChIJU0lt1x5awokRcd1w1u4Ju9Q,0800,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1800
83811,Toritcho,"47 Rue du Montparnasse, Paris, France",restaurant,Paris,48.842524,2.326075,4,ChIJb6ebGcxx5kcRfk98oGpYq_M,1900,2300,N/A,N/A,1900,2300,1900,2300,1900,2300,1900,2300,1900,2330
83817,La Fabbrica,"19 Rue de l'Étoile, Paris, France",restaurant,Paris,48.877484,2.294982,4,ChIJB2g-H-9LKxMRk4r0IoOZjvk,N/A,N/A,1400,1800,1400,1800,1400,1800,1400,1800,1400,1700,0930,1200
83823,Al Taglio,"2 Bis Rue Neuve Popincourt, Paris, France",restaurant,Paris,48.864575,2.373928,4,ChIJ4dxSqlgzxEcRDUwpHsVb1iE,1130,1800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1130,1800,1130,1800
83825,Comptoir Saint Germain,"57 Rue Saint-André des Arts, Paris, France",restaurant,Paris,48.85349,2.33918,4,ChIJz5Ors95x5kcRWuk_sUIMlpU,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300
83831,L'OisiveThé,"1 Rue Jean Marie Jego, Paris, France",restaurant,Paris,48.828025,2.351632,4,ChIJkbUSYUCTVA0RmP0auFasIwo,1100,1800,N/A,N/A,N/A,N/A,N/A,N/A,1200,1800,1200,1800,1100,1800
83833,Le Relais de Venise,"271 Boulevard Pereire, Paris, France",restaurant,Paris,48.878053,2.285063,4,ChIJYwXPXNIadkgRhqBqxBm5ddA,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200
83834,Wok Cooking,"25 Rue des Taillandiers, Paris, France",restaurant,Paris,48.855077,2.374727,3,ChIJvdDo6qf6fkgRdUnAxsegUso,1730,2200,1730,2200,N/A,N/A,1730,2200,1730,2200,1730,2200,1730,2200
83835,Au Bouquet Saint Paul,"85 Rue Saint-Antoine, Paris, France",restaurant,Paris,48.854482,2.362856,5,ChIJBz17QP5x5kcROnflDJypy8Y,0800,2300,0700,0000,0700,0000,0700,0000,0700,0000,0700,0000,0700,0000
