217508,Les Puces des Batignolles,"110 rue Legendre, Paris, 75017, France",attraction,Paris,48.8881254249,2.32112720185,ChIJ51aLl61v5kcRFCQ98jAXvto,0900,0200,0800,0200,0800,0200,0800,0200,0800,0200,0800,0200,0900,0200,4
217514,Salle Pleyel,"Paris, , France",attraction,Paris,48.876994444444,2.3010361111111,ChIJvfBsrOpv5kcRZfmRmi38wZQ,1000,0000,1000,0000,1000,0000,1000,0000,1000,0000,1000,0000,1000,0000,4
217516,Hôtel des Invalides,"Paris, , France",attraction,Paris,48.855278,2.3125,ChIJUzCPuddv5kcRasGAnEUUWkU,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,1000,1700,5
217528,Matignon Paris,"3, avenue Matignon, Paris, 75008, France",attraction,Paris,48.869628834064,2.3112338081419,ChIJEQS3gsVv5kcRbr1JV8Iulpk,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,0800,2100,4
217532,Hôtel Matignon,"57 rue Varenne, Paris, 75007, France",attraction,Paris,48.854444444444,2.3208333333333,ChIJ5xbH6Cpw5kcRk40boIcmzQ4,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1700,3
217538,Statue de la Liberté,"Statue de la Liberté, Paris, 75, France",attraction,Paris,48.849983495498,2.2830457896811,ChIJPTacEpBQwokRKwIlDXelxkA,0830,1600,0830,1600,0830,1600,0830,1600,0830,1600,0830,1600,0830,1600,5
217539,L'Ambre Bar,"29 Rue Brunel, Paris, 75017, France",attraction,Paris,48.8786002252,2.28790530935,ChIJ1ZI_Io1v5kcRKlpSWc6w0GA,N/A,N/A,1730,0200,1730,0200,1730,0200,1730,0200,1730,0200,1900,0200,5
217542,Tour Eiffel,"Parvis Des Libertés Et Des Droits De L'homme, Paris, , France",attraction,Paris,48.8622305687,2.28927686908,ChIJLU7jZClu5kcR4PcOOO6p3I0,0900,0045,0900,0045,0900,0045,0900,0045,0900,0045,0900,0045,0900,0045,5
217548,Monsieur Bleu - Palais de Tokyo Restaurant,"20 av de New York 75116 Paris, Paris, 75116, France",attraction,Paris,48.863532082438,2.2967588825027,ChIJNWYQDudv5kcRj-kwX_6y0Sc,1900,2300,1900,2300,1900,2300,1900,2300,1900,2330,1900,2330,1900,2330,4
217559,Fontaine Saint-Michel,"11 Place St Michel, Paris, 75006, France",attraction,Paris,48.85337177335,2.3439125525855,ChIJM79fJd5x5kcRxEjMn9CzSLs,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,4
217560,Porte Saint-Denis,"avenue junot, Paris, 75010, France",attraction,Paris,48.869766878738,2.3525061128857,ChIJPWASFRFu5kcRO_9wvkYEoVs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
217562,The Auld Alliance,"80 Rue francois Miron, Paris, 75004, France",attraction,Paris,48.855433456783,2.3592407576011,ChIJN_vyYKQZ2jERPKNnUDZbOFc,1600,0000,1600,0100,1600,0100,1600,0100,1600,0100,1600,0200,1600,0200,5
